planner,env_seed,run,seed,obstacle_seed,resample_attempt,termination_mode,time_limit_per_leg,success,solve_time_s,simplify_time_s,total_time_s,total_length_se3,total_length_xyz
PRMstar,2,8,220345,2000000,0,first_solution,1.000,1,5.007903,0.000644,5.008547,28.501640,24.478064
RRTstar,2,8,220345,2000000,0,first_solution,1.000,1,5.001394,0.000415,5.001808,26.086055,24.111563
BITstar,2,8,220345,2000000,0,first_solution,1.000,1,3.050303,0.000514,3.050818,27.350166,24.362229
RRTConnect,2,9,221345,2000000,0,first_solution,1.000,1,0.000434,0.000666,0.001101,35.840201,31.955615
PRMstar,2,9,221345,2000000,0,first_solution,1.000,1,5.007196,0.000432,5.007627,27.210915,24.146769
RRTstar,2,9,221345,2000000,0,first_solution,1.000,1,5.001573,0.000550,5.002122,28.447639,24.118126
BITstar,2,9,221345,2000000,0,first_solution,1.000,1,3.044284,0.000566,3.044850,26.996489,24.276471
RRTConnect,2,10,222345,2000000,0,first_solution,1.000,1,0.000725,0.000664,0.001389,31.591241,25.457641
PRMstar,2,10,222345,2000000,0,first_solution,1.000,1,5.007474,0.000585,5.008058,29.709921,24.200852
RRTstar,2,10,222345,2000000,0,first_solution,1.000,1,5.001385,0.002375,5.003760,27.480384,24.213524
BITstar,2,10,222345,2000000,0,first_solution,1.000,1,3.000344,0.000555,3.000899,28.548989,24.231143
RRTConnect,2,11,223345,2000000,0,first_solution,1.000,1,0.002508,0.000790,0.003297,37.194954,31.207335
PRMstar,2,11,223345,2000000,0,first_solution,1.000,1,5.007336,0.000672,5.008008,28.553593,24.138597
RRTstar,2,11,223345,2000000,0,first_solution,1.000,1,5.001354,0.000448,5.001802,26.970674,24.535560
BITstar,2,11,223345,2000000,0,first_solution,1.000,1,3.046004,0.000456,3.046460,26.798500,24.672614
RRTConnect,2,12,224345,2000000,0,first_solution,1.000,1,0.001646,0.001106,0.002753,42.076206,32.119591
PRMstar,2,12,224345,2000000,0,first_solution,1.000,1,5.004770,0.000506,5.005276,27.329230,24.573477
RRTstar,2,12,224345,2000000,0,first_solution,1.000,1,5.001473,0.000476,5.001949,27.081735,24.304391
BITstar,2,12,224345,2000000,0,first_solution,1.000,1,3.078939,0.000617,3.079556,28.861088,24.244111
RRTConnect,2,13,225345,2000000,0,first_solution,1.000,1,0.001091,0.000969,0.002060,33.393211,26.072091
PRMstar,2,13,225345,2000000,0,first_solution,1.000,1,5.007869,0.000597,5.008467,28.810495,24.455511
RRTstar,2,13,225345,2000000,0,first_solution,1.000,1,5.001830,0.000456,5.002285,25.787898,24.458228
BITstar,2,13,225345,2000000,0,first_solution,1.000,1,3.038344,0.000555,3.038899,27.820368,24.471697
RRTConnect,2,14,226345,2000000,0,first_solution,1.000,1,0.000532,0.000883,0.001416,32.486773,25.293071
PRMstar,2,14,226345,2000000,0,first_solution,1.000,1,5.007645,0.000719,5.008364,29.203800,24.224029
